Email Address,How are you feeling?,Please share a bit more,Is there anything we could do to help,Recommendation Liklihood
TestEmailAddress@TheRandomEmailAddy.Com186,2,I really need to get some help.,I actually feel completely over worked.,2
TestEmailAddress@TheRandomEmailAddy.Com196,2,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,8
TestEmailAddress@TheRandomEmailAddy.Com206,2,Need to get some air,Please can we get allocated exercise time.,8
TestEmailAddress@TheRandomEmailAddy.Com216,2,Really need to get rid of this depression :(,I need to talk to a professional.,2
TestEmailAddress@TheRandomEmailAddy.Com236,2,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,2
TestEmailAddress@TheRandomEmailAddy.Com246,2,Need to get some air,Please can we get allocated exercise time.,2
TestEmailAddress@TheRandomEmailAddy.Com256,2,Really need to get rid of this depression :(,I need to talk to a professional.,2
TestEmailAddress@TheRandomEmailAddy.Com266,2,Struggling to keep up with all of the calls and feeling overwhelmed.,We need stricter breaks in our calendar.,2
TestEmailAddress@TheRandomEmailAddy.Com276,2,Really depressed!,Id love to connect with more people.,2
TestEmailAddress@TheRandomEmailAddy.Com286,2,Need to talk to someone ASAP!,Id really like to talk to a professional.,2
TestEmailAddress03@Therandomemailaddy.com,3,This lockdown is getting me seriously frustrated.,I need to get out and really get some exercise.,3
TestEmailAddress@TheRandomEmailAddy.Com07,3,My kids are driving me Me MENTAL!,I need to find a separate space to to work.,8
TestEmailAddress@TheRandomEmailAddy.Com17,3,I just cant keep up.,I need to work to manage my time properly.,3
TestEmailAddress@TheRandomEmailAddy.Com27,3,I really need to get some help.,I actually feel completely over worked.,3
TestEmailAddress@TheRandomEmailAddy.Com37,3,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,8
TestEmailAddress@TheRandomEmailAddy.Com47,3,Need to get some air,Please can we get allocated exercise time.,3
TestEmailAddress@TheRandomEmailAddy.Com57,3,Really need to get rid of this depression :(,I need to talk to a professional.,3
TestEmailAddress@TheRandomEmailAddy.Com67,3,Struggling to keep up with all of the calls and feeling overwhelmed.,We need stricter breaks in our calendar.,8
TestEmailAddress@TheRandomEmailAddy.Com87,3,Really depressed!,Id love to connect with more people.,3
TestEmailAddress@TheRandomEmailAddy.Com97,3,Need to talk to someone ASAP!,Id really like to talk to a professional.,3
TestEmailAddress@TheRandomEmailAddy.Com117,3,This lockdown is getting me seriously frustrated.,I need to get out and really get some exercise.,8
TestEmailAddress@TheRandomEmailAddy.Com127,3,My kids are driving me Me MENTAL!,I need to find a separate space to to work.,3
TestEmailAddress@TheRandomEmailAddy.Com137,3,I just cant keep up.,I need to work to manage my time properly.,3
TestEmailAddress@TheRandomEmailAddy.Com147,3,I really need to get some help.,I actually feel completely over worked.,8
TestEmailAddress@TheRandomEmailAddy.Com167,3,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,3
TestEmailAddress@TheRandomEmailAddy.Com177,3,Need to get some air,Please can we get allocated exercise time.,3
TestEmailAddress@TheRandomEmailAddy.Com187,3,Really need to get rid of this depression :(,I need to talk to a professional.,8
TestEmailAddress@TheRandomEmailAddy.Com197,3,Not feeling super great today.,I just want to chat to someone to work out how to maintain this lifestyle.,3
TestEmailAddress@TheRandomEmailAddy.Com207,3,Need to get some air,Please can we get allocated exercise time.,3
TestEmailAddress@TheRandomEmailAddy.Com217,3,Really need to get rid of this depression :(,I need to talk to a professional.,8
TestEmailAddress@TheRandomEmailAddy.Com227,3,Struggling to keep up with all of the calls and feeling overwhelmed.,We need stricter breaks in our calendar.,3
TestEmailAddress@TheRandomEmailAddy.Com237,3,Really depressed!,Id love to connect with more people.,3
TestEmailAddress@TheRandomEmailAddy.Com247,3,Need to talk to someone ASAP!,Id really like to talk to a professional.,3
TestEmailAddress@TheRandomEmailAddy.Com257,3,This lockdown is getting me seriously frustrated.,I need to get out and really get some exercise.,3
TestEmailAddress@TheRandomEmailAddy.Com277,3,My kids are driving me Me MENTAL!,I need to find a separate space to to work.,3
TestEmailAddress@TheRandomEmailAddy.Com287,3,I just cant keep up.,I need to work to manage my time properly.,3
01TestRandomEmailAddress@TheRandomEmailAddy.com,4,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,8
TestEmailAddress@TheRandomEmailAddy.Com02,4,Need to change things up a bit.,Provide advice on external programmes.,8
TestEmailAddress@TheRandomEmailAddy.Com08,4,I really need to get some more exercise.,Suggest a time every day for exercise.,4
TestEmailAddress@TheRandomEmailAddy.Com14,4,Id like to work on my work life balance.,We need an internal programme to manage this.,10
TestEmailAddress@TheRandomEmailAddy.Com18,4,"Im okay, not massively great","No, just keep asking.",4
TestEmailAddress@TheRandomEmailAddy.Com25,4,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,1
TestEmailAddress@TheRandomEmailAddy.Com28,4,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,4
TestEmailAddress@TheRandomEmailAddy.Com35,4,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,1
TestEmailAddress@TheRandomEmailAddy.Com38,4,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,4
TestEmailAddress@TheRandomEmailAddy.Com44,4,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,10
TestEmailAddress@TheRandomEmailAddy.Com48,4,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,4
TestEmailAddress@TheRandomEmailAddy.Com52,4,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,4
TestEmailAddress@TheRandomEmailAddy.Com58,4,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,4
TestEmailAddress@TheRandomEmailAddy.Com59,4,Need to change things up a bit.,Provide advice on external programmes.,5
TestEmailAddress@TheRandomEmailAddy.Com65,4,I really need to get some more exercise.,Suggest a time every day for exercise.,1
TestEmailAddress@TheRandomEmailAddy.Com68,4,Id like to work on my work life balance.,We need an internal programme to manage this.,4
TestEmailAddress@TheRandomEmailAddy.Com70,4,"Im okay, not massively great","No, just keep asking.",6
TestEmailAddress@TheRandomEmailAddy.Com74,4,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,10
TestEmailAddress@TheRandomEmailAddy.Com77,4,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,3
TestEmailAddress@TheRandomEmailAddy.Com78,4,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,4
TestEmailAddress@TheRandomEmailAddy.Com79,4,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,8
TestEmailAddress@TheRandomEmailAddy.Com80,4,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,6
TestEmailAddress@TheRandomEmailAddy.Com82,4,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,4
TestEmailAddress@TheRandomEmailAddy.Com85,4,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,1
TestEmailAddress@TheRandomEmailAddy.Com88,4,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,4
TestEmailAddress@TheRandomEmailAddy.Com89,4,Need to change things up a bit.,Provide advice on external programmes.,5
TestEmailAddress@TheRandomEmailAddy.Com94,4,I really need to get some more exercise.,Suggest a time every day for exercise.,10
TestEmailAddress@TheRandomEmailAddy.Com98,4,Id like to work on my work life balance.,We need an internal programme to manage this.,4
TestEmailAddress@TheRandomEmailAddy.Com100,4,"Im okay, not massively great","No, just keep asking.",8
TestEmailAddress@TheRandomEmailAddy.Com107,4,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,3
TestEmailAddress@TheRandomEmailAddy.Com108,4,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,4
TestEmailAddress@TheRandomEmailAddy.Com115,4,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,1
TestEmailAddress@TheRandomEmailAddy.Com118,4,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,4
TestEmailAddress@TheRandomEmailAddy.Com124,4,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,8
TestEmailAddress@TheRandomEmailAddy.Com128,4,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,4
TestEmailAddress@TheRandomEmailAddy.Com134,4,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,10
TestEmailAddress@TheRandomEmailAddy.Com138,4,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,4
TestEmailAddress@TheRandomEmailAddy.Com145,4,Need to change things up a bit.,Provide advice on external programmes.,8
TestEmailAddress@TheRandomEmailAddy.Com148,4,I really need to get some more exercise.,Suggest a time every day for exercise.,4
TestEmailAddress@TheRandomEmailAddy.Com157,4,Id like to work on my work life balance.,We need an internal programme to manage this.,3
TestEmailAddress@TheRandomEmailAddy.Com158,4,"Im okay, not massively great","No, just keep asking.",4
TestEmailAddress@TheRandomEmailAddy.Com168,4,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,4
TestEmailAddress@TheRandomEmailAddy.Com170,4,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,6
TestEmailAddress@TheRandomEmailAddy.Com178,4,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,4
TestEmailAddress@TheRandomEmailAddy.Com184,4,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,10
TestEmailAddress@TheRandomEmailAddy.Com188,4,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,4
TestEmailAddress@TheRandomEmailAddy.Com198,4,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,4
TestEmailAddress@TheRandomEmailAddy.Com199,4,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,5
TestEmailAddress@TheRandomEmailAddy.Com208,4,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,4
TestEmailAddress@TheRandomEmailAddy.Com213,4,Need to change things up a bit.,Provide advice on external programmes.,9
TestEmailAddress@TheRandomEmailAddy.Com218,4,I really need to get some more exercise.,Suggest a time every day for exercise.,4
TestEmailAddress@TheRandomEmailAddy.Com226,4,Id like to work on my work life balance.,We need an internal programme to manage this.,2
TestEmailAddress@TheRandomEmailAddy.Com228,4,"Im okay, not massively great","No, just keep asking.",4
TestEmailAddress@TheRandomEmailAddy.Com238,4,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,4
TestEmailAddress@TheRandomEmailAddy.Com248,4,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,4
TestEmailAddress@TheRandomEmailAddy.Com249,4,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,5
TestEmailAddress@TheRandomEmailAddy.Com258,4,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,4
TestEmailAddress@TheRandomEmailAddy.Com259,4,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,8
TestEmailAddress@TheRandomEmailAddy.Com267,4,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,8
TestEmailAddress@TheRandomEmailAddy.Com268,4,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,4
TestEmailAddress@TheRandomEmailAddy.Com274,4,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,8
TestEmailAddress@TheRandomEmailAddy.Com278,4,Need to change things up a bit.,Provide advice on external programmes.,4
TestEmailAddress@TheRandomEmailAddy.Com280,4,I really need to get some more exercise.,Suggest a time every day for exercise.,8
TestEmailAddress@TheRandomEmailAddy.Com285,4,Id like to work on my work life balance.,We need an internal programme to manage this.,8
TestEmailAddress@TheRandomEmailAddy.Com288,4,"Im okay, not massively great","No, just keep asking.",4
TestEmailAddress@TheRandomEmailAddy.Com289,4,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,8
TestEmailAddress@TheRandomEmailAddy.Com291,4,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,7
02TestRandomEmailAddress@TheRandomEmailAddy.com,5,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,5
TestEmailAddress@TheRandomEmailAddy.Com09,5,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,5
TestEmailAddress@TheRandomEmailAddy.Com19,5,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,5
TestEmailAddress@TheRandomEmailAddy.Com29,5,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,8
TestEmailAddress@TheRandomEmailAddy.Com39,5,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,5
TestEmailAddress@TheRandomEmailAddy.Com49,5,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,5
TestEmailAddress@TheRandomEmailAddy.Com69,5,Need to change things up a bit.,Provide advice on external programmes.,5
TestEmailAddress@TheRandomEmailAddy.Com99,5,I really need to get some more exercise.,Suggest a time every day for exercise.,5
TestEmailAddress@TheRandomEmailAddy.Com109,5,Id like to work on my work life balance.,We need an internal programme to manage this.,8
TestEmailAddress@TheRandomEmailAddy.Com119,5,"Im okay, not massively great","No, just keep asking.",5
TestEmailAddress@TheRandomEmailAddy.Com129,5,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,5
TestEmailAddress@TheRandomEmailAddy.Com139,5,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,8
TestEmailAddress@TheRandomEmailAddy.Com149,5,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,5
TestEmailAddress@TheRandomEmailAddy.Com159,5,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,8
TestEmailAddress@TheRandomEmailAddy.Com169,5,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,5
TestEmailAddress@TheRandomEmailAddy.Com179,5,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,8
TestEmailAddress@TheRandomEmailAddy.Com189,5,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,5
TestEmailAddress@TheRandomEmailAddy.Com209,5,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,5
TestEmailAddress@TheRandomEmailAddy.Com219,5,Need to change things up a bit.,Provide advice on external programmes.,5
TestEmailAddress@TheRandomEmailAddy.Com229,5,I really need to get some more exercise.,Suggest a time every day for exercise.,8
TestEmailAddress@TheRandomEmailAddy.Com239,5,Id like to work on my work life balance.,We need an internal programme to manage this.,5
TestEmailAddress@TheRandomEmailAddy.Com269,5,"Im okay, not massively great","No, just keep asking.",5
TestEmailAddress@TheRandomEmailAddy.Com279,5,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,5
03TestRandomEmailAddress@TheRandomEmailAddy.com,6,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,6
TestEmailAddress@TheRandomEmailAddy.Com10,6,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,6
TestEmailAddress@TheRandomEmailAddy.Com20,6,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,6
TestEmailAddress@TheRandomEmailAddy.Com30,6,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,6
TestEmailAddress@TheRandomEmailAddy.Com40,6,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,6
TestEmailAddress@TheRandomEmailAddy.Com50,6,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,6
TestEmailAddress@TheRandomEmailAddy.Com60,6,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,6
TestEmailAddress@TheRandomEmailAddy.Com90,6,Need to change things up a bit.,Provide advice on external programmes.,8
TestEmailAddress@TheRandomEmailAddy.Com110,6,I really need to get some more exercise.,Suggest a time every day for exercise.,6
TestEmailAddress@TheRandomEmailAddy.Com120,6,Id like to work on my work life balance.,We need an internal programme to manage this.,6
TestEmailAddress@TheRandomEmailAddy.Com130,6,"Im okay, not massively great","No, just keep asking.",8
TestEmailAddress@TheRandomEmailAddy.Com140,6,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,6
TestEmailAddress@TheRandomEmailAddy.Com150,6,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,8
TestEmailAddress@TheRandomEmailAddy.Com160,6,"I need to find a quiet place to work, its all too distracting.",Are there any incentives?,6
TestEmailAddress@TheRandomEmailAddy.Com180,6,Too many meetings. I don’t even have food or toilet breaks.,Lets look at some meeting etiquette rules.,6
TestEmailAddress@TheRandomEmailAddy.Com190,6,Im in a blank space right now. Nothing is happening.,Need excitement! Any suggestions?,6
TestEmailAddress@TheRandomEmailAddy.Com200,6,I NEED SOME EXCITEMENT!,Are there any extra curricular activities we can engage in?,6
TestEmailAddress@TheRandomEmailAddy.Com210,6,There seems to be this weird dead zone that everyones in.,Lets start looking at getting more people engaged.,6
TestEmailAddress@TheRandomEmailAddy.Com220,6,"Not too bad, just carrying on as normal.",Just keep checking in and offering advice.,6
TestEmailAddress@TheRandomEmailAddy.Com230,6,Need to change things up a bit.,Provide advice on external programmes.,6
TestEmailAddress@TheRandomEmailAddy.Com240,6,I really need to get some more exercise.,Suggest a time every day for exercise.,8
TestEmailAddress@TheRandomEmailAddy.Com250,6,Id like to work on my work life balance.,We need an internal programme to manage this.,8
TestEmailAddress@TheRandomEmailAddy.Com260,6,"Im okay, not massively great","No, just keep asking.",6
TestEmailAddress@TheRandomEmailAddy.Com270,6,"Im alright, need a bit of a change.",Are there any external work activities we can engage in?,6
TestEmailAddress@TheRandomEmailAddy.Com290,6,Exploring options to sort out my work life balance.,Maybe we need to think about how we can all work together to create some excitement.,6
TestEmailAddress@TheRandomEmailAddy.Com01,7,"Actually doing okay thanks, Lockdown isnt too bad.",All good.,8
TestEmailAddress@TheRandomEmailAddy.Com11,7,"Just doing average, nothing amazing.",Maybe some learning suggestions.,8
TestEmailAddress@TheRandomEmailAddy.Com21,7,Doing okay thanks. Getting through it all.,Any advice on doing something exciting?,7
TestEmailAddress@TheRandomEmailAddy.Com31,7,"Pretty good, not amazing.",Some suggestions on things to learn,7
TestEmailAddress@TheRandomEmailAddy.Com41,7,Actually taking this time during lockdown to center myself.,keep giving us free time.,7
TestEmailAddress@TheRandomEmailAddy.Com51,7,Enjoying the time with the kids.,Nope,7
TestEmailAddress@TheRandomEmailAddy.Com61,7,Learning new things during this time and educating myself.,Share any other educational materials.,7
TestEmailAddress@TheRandomEmailAddy.Com71,7,Lockdown has been good for me and the family.,Keep allowing us the free time.,7
TestEmailAddress@TheRandomEmailAddy.Com81,7,Making sure I spend ths time constructively.,Need to make sure we still have learning time.,7
TestEmailAddress@TheRandomEmailAddy.Com91,7,"Average at best, nothing major happening.",No thanks.,7
TestEmailAddress@TheRandomEmailAddy.Com101,7,"Actually doing okay thanks, Lockdown isnt too bad.",All good.,7
TestEmailAddress@TheRandomEmailAddy.Com111,7,"Just doing average, nothing amazing.",Maybe some learning suggestions.,7
TestEmailAddress@TheRandomEmailAddy.Com121,7,Doing okay thanks. Getting through it all.,Any advice on doing something exciting?,7
TestEmailAddress@TheRandomEmailAddy.Com131,7,"Pretty good, not amazing.",Some suggestions on things to learn,7
TestEmailAddress@TheRandomEmailAddy.Com141,7,Actually taking this time during lockdown to center myself.,keep giving us free time.,7
TestEmailAddress@TheRandomEmailAddy.Com151,7,Enjoying the time with the kids.,Nope,7
TestEmailAddress@TheRandomEmailAddy.Com161,7,Learning new things during this time and educating myself.,Share any other educational materials.,7
TestEmailAddress@TheRandomEmailAddy.Com171,7,Lockdown has been good for me and the family.,Keep allowing us the free time.,7
TestEmailAddress@TheRandomEmailAddy.Com181,7,Making sure I spend ths time constructively.,Need to make sure we still have learning time.,7
TestEmailAddress@TheRandomEmailAddy.Com191,7,"Average at best, nothing major happening.",No thanks.,7
TestEmailAddress@TheRandomEmailAddy.Com201,7,"Actually doing okay thanks, Lockdown isnt too bad.",All good.,7
TestEmailAddress@TheRandomEmailAddy.Com211,7,"Just doing average, nothing amazing.",Maybe some learning suggestions.,7
TestEmailAddress@TheRandomEmailAddy.Com221,7,Doing okay thanks. Getting through it all.,Any advice on doing something exciting?,7
TestEmailAddress@TheRandomEmailAddy.Com231,7,"Pretty good, not amazing.",Some suggestions on things to learn,7
TestEmailAddress@TheRandomEmailAddy.Com241,7,Actually taking this time during lockdown to center myself.,keep giving us free time.,7
TestEmailAddress@TheRandomEmailAddy.Com251,7,Enjoying the time with the kids.,Nope,7
TestEmailAddress@TheRandomEmailAddy.Com261,7,Learning new things during this time and educating myself.,Share any other educational materials.,7
TestEmailAddress@TheRandomEmailAddy.Com271,7,Lockdown has been good for me and the family.,Keep allowing us the free time.,7
TestEmailAddress@TheRandomEmailAddy.Com281,7,Making sure I spend ths time constructively.,Need to make sure we still have learning time.,7
TestEmailAddress@TheRandomEmailAddy.Com12,8,"Average at best, nothing major happening.",No thanks.,4
TestEmailAddress@TheRandomEmailAddy.Com22,8,"Actually doing okay thanks, Lockdown isnt too bad.",All good.,8
TestEmailAddress@TheRandomEmailAddy.Com32,8,"Just doing average, nothing amazing.",Maybe some learning suggestions.,4
TestEmailAddress@TheRandomEmailAddy.Com42,8,Doing okay thanks. Getting through it all.,Any advice on doing something exciting?,4
TestEmailAddress@TheRandomEmailAddy.Com62,8,"Pretty good, not amazing.",Some suggestions on things to learn,4
TestEmailAddress@TheRandomEmailAddy.Com72,8,Actually taking this time during lockdown to center myself.,keep giving us free time.,4
TestEmailAddress@TheRandomEmailAddy.Com92,8,Enjoying the time with the kids.,Nope,4
TestEmailAddress@TheRandomEmailAddy.Com102,8,Learning new things during this time and educating myself.,Share any other educational materials.,4
TestEmailAddress@TheRandomEmailAddy.Com112,8,Lockdown has been good for me and the family.,Keep allowing us the free time.,4
TestEmailAddress@TheRandomEmailAddy.Com122,8,Making sure I spend ths time constructively.,Need to make sure we still have learning time.,4
TestEmailAddress@TheRandomEmailAddy.Com132,8,"Average at best, nothing major happening.",No thanks.,4
TestEmailAddress@TheRandomEmailAddy.Com142,8,"Actually doing okay thanks, Lockdown isnt too bad.",All good.,8
TestEmailAddress@TheRandomEmailAddy.Com152,8,"Just doing average, nothing amazing.",Maybe some learning suggestions.,4
TestEmailAddress@TheRandomEmailAddy.Com162,8,Doing okay thanks. Getting through it all.,Any advice on doing something exciting?,4
TestEmailAddress@TheRandomEmailAddy.Com172,8,"Pretty good, not amazing.",Some suggestions on things to learn,8
TestEmailAddress@TheRandomEmailAddy.Com182,8,Actually taking this time during lockdown to center myself.,keep giving us free time.,4
TestEmailAddress@TheRandomEmailAddy.Com192,8,Enjoying the time with the kids.,Nope,4
TestEmailAddress@TheRandomEmailAddy.Com202,8,Learning new things during this time and educating myself.,Share any other educational materials.,4
TestEmailAddress@TheRandomEmailAddy.Com212,8,Lockdown has been good for me and the family.,Keep allowing us the free time.,4
TestEmailAddress@TheRandomEmailAddy.Com222,8,Making sure I spend ths time constructively.,Need to make sure we still have learning time.,4
